0833 Tokke;2236;2228;-0,4;
0834 Vinje;3709;3723;0,4;
0901 Risør;6882;6848;-0,5;
0904 Grimstad;23017;23246;1,0;
0906 Arendal;44645;44785;0,3;
0911 Gjerstad;2467;2454;-0,5;
0912 Vegårshei;2087;2093;0,3;
0914 Tvedestrand;6086;6069;-0,3;
0919 Froland;5790;5845;0,9;
0926 Lillesand;10871;10990;1,1;
0928 Birkenes;5187;5212;0,5;
0929 Åmli;1845;1848;0,2;
0935 Iveland;1330;1326;-0,3;
0937 Evje og Hornnes;3625;3638;0,4;
0938 Bygland;1207;1192;-1,2;
0940 Valle;1225;1156;-5,6;
0941 Bykle;958;953;-0,5;
1001 Kristiansand;91440;92282;0,9;
1002 Mandal;15659;15659;0,0;
1003 Farsund;9726;9695;-0,3;
1004 Flekkefjord;9066;9066;0,0;
1014 Vennesla;14532;14630;0,7;
1017 Songdalen;6656;6706;0,8;
1018 Søgne;11342;11403;0,5;
1021 Marnardal;2308;2297;-0,5;
1026 Åseral;943;939;-0,4;
1027 Audnedal;1786;1780;-0,3;
1029 Lindesnes;4938;4953;0,3;
1032 Lyngdal;8571;8609;0,4;
1034 Hægebostad;1699;1683;-0,9;
1037 Kvinesdal;6024;6048;0,4;
1046 Sirdal;1842;1839;-0,2;
1101 Eigersund;14898;14830;-0,5;
1102 Sandnes;76328;77246;1,2;
1103 Stavanger;133140;134037;0,7;
1106 Haugesund;37167;37250;0,2;
1111 Sokndal;3331;3305;-0,8;
1112 Lund;3237;3213;-0,7;
1114 Bjerkreim;2826;2807;-0,7;
1119 Hå;18762;18814;0,3;
1120 Klepp;19217;19354;0,7;
1121 Time;18699;18795;0,5;
1122 Gjesdal;11866;11899;0,3;
1124 Sola;26265;26582;1,2;
1127 Randaberg;10972;11053;0,7;
1129 Forsand;1246;1193;-4,3;
1130 Strand;12638;12720;0,6;
1133 Hjelmeland;2723;2684;-1,4;
1134 Suldal;3849;3794;-1,4;
1135 Sauda;4663;4597;-1,4;
1141 Finnøy;3197;3150;-1,5;
1142 Rennesøy;4849;4847;0,0;
1144 Kvitsøy;542;516;-4,8;
1145 Bokn;844;840;-0,5;
1146 Tysvær;11023;11028;0,0;
1149 Karmøy;42243;42161;-0,2;
1151 Utsira;208;196;-5,8;
1160 Vindafjord;8793;8743;-0,6;
1201 Bergen;279792;281190;0,5;
1211 Etne;4083;4077;-0,1;
1216 Sveio;5721;5721;0,0;
1219 Bømlo;11902;11960;0,5;
1221 Stord;18780;18699;-0,4;
1222 Fitjar;3194;3201;0,2;
1223 Tysnes;2857;2846;-0,4;
1224 Kvinnherad;13180;13137;-0,3;
1227 Jondal;1096;1087;-0,8;
1228 Odda;6835;6745;-1,3;
1231 Ullensvang;3363;3320;-1,3;
1232 Eidfjord;931;906;-2,7;
1233 Ulvik;1117;1093;-2,1;
1234 Granvin;931;937;0,6;
1235 Voss;14577;14606;0,2;
1238 Kvam;8455;8441;-0,2;
1241 Fusa;3920;3861;-1,5;
1242 Samnanger;2463;2465;0,1;
1243 Os (Hordaland);20573;20804;1,1;
1244 Austevoll;5189;5212;0,4;
1245 Sund;7085;7062;-0,3;
1246 Fjell;25725;26166;1,7;
1247 Askøy;29071;29275;0,7;
1251 Vaksdal;4127;4045;-2,0;
1252 Modalen;380;380;0,0;
1253 Osterøy;8125;8120;-0,1;
1256 Meland;8079;8187;1,3;
1259 Øygarden;4877;4889;0,2;
1260 Radøy;5129;5091;-0,7;
1263 Lindås;15789;15812;0,1;
1264 Austrheim;2902;2887;-0,5;
1265 Fedje;561;562;0,2;
1266 Masfjorden;1730;1711;-1,1;
1401 Flora;11988;11852;-1,1;
1411 Gulen;2345;2322;-1,0;
1412 Solund;807;820;1,6;
1413 Hyllestad;1378;1366;-0,9;
1416 Høyanger;4154;4091;-1,5;
1417 Vik;2674;2672;-0,1;
1418 Balestrand;1262;1279;1,3;
1419 Leikanger;2345;2331;-0,6;
1420 Sogndal;8059;8191;1,6;
1421 Aurland;1778;1764;-0,8;
1422 Lærdal;2153;2151;-0,1;
1424 Årdal;5277;5245;-0,6;
1426 Luster;5223;5195;-0,5;
